Date,Rir,Inf
2005,29.58576079,4.838621775
2006,28.0808453,2.056503425
2007,22.50814651,5.369134737
2008,23.93164352,4.44365491
2009,21.51562863,4.561581547
2010,20.21468541,5.048936576
2011,22.40355815,4.796484979
2012,23.26043865,4.254534775
2013,20.83099415,5.699736297
2014,22.13467873,5.947374922
